source,study,year,species,sex,mass (kg),mass_SE,method,mean_HR (ha),SE_HR,mean_CA (ha),SE_CA,Notes
XX mass substituted,Inman et al. 2011,2011,wolverine,F,7,,VHF (MCP and 95% fixed kernel with LSCV),30300,5400,,,GYE
XX mass substituted,Inman et al. 2011,2011,wolverine,M,14.4,,VHF (MCP and 95% fixed kernel with LSCV),79700,8700,,,GYE
,,,badger,,,,,,,,,
,,,lynx,,,,,,,,,
,,,mink,,,,,,,,,
,,,raccoon,,,,,,,,,
thesis,Hamilton 2022,2022,striped skunk,Both,5.667,0.123,GPS (fixed kernel density estimates),297,66,,,Texas
thesis,Hamilton 2022,2022,prairie spotted skunk,Both,0.624,0.105,GPS (fixed kernel density estimates),196,65,,,Texas
thesis,Jachowski 2007,2007,black-footed ferret,M,0.8845,,"spotlight surveys, UD, dye mark, UD",123,26.8,,,South Dakota
thesis,Jachowski 2007,2007,black-footed ferret,F,0.8845,,"spotlight surveys, UD, dye mark, UD",50.9,7.2,,,South Dakota
thesis,Doty 2004,2004,striped skunk,M,5.667,0.123,VHF,669.3,602.9,,,Texas
thesis,Doty 2004,2004,western spotted skunk,M,0.5953,0.0223,VHF,38.9,12.9,,,Texas
,Jones et al. 2008,2008,island spotted skunk,M,0.6,0.072,VHF Fixed kernel,55.1,12.1,,,California
,Jones et al. 2008,2008,island spotted skunk,F,0.429,0.062,VHF Fixed kernel,43.1,10,,,
